location,time,ppi_dom_con,date
CZE,1995-09,68.89846,Sep 1995
CZE,1995-10,69.48923,Oct 1995
CZE,1995-11,69.90462,Nov 1995
CZE,1995-12,69.98769,Dec 1995
CZE,1996-01,70.82769,Jan 1996
CZE,1996-02,71.24308,Feb 1996
CZE,1996-03,71.65846,Mar 1996
CZE,1996-04,71.90769,Apr 1996
CZE,1996-05,71.90769,May 1996
CZE,1996-06,72.24923,Jun 1996
CZE,1996-07,72.58154,Jul 1996
CZE,1996-08,72.91385,Aug 1996
CZE,1996-09,73.58769,Sep 1996
CZE,1996-10,74.16923,Oct 1996
CZE,1996-11,74.2523,Nov 1996
CZE,1996-12,74.16923,Dec 1996
CZE,1997-01,74.83385,Jan 1997
CZE,1997-02,74.91692,Feb 1997
CZE,1997-03,74.83385,Mar 1997
CZE,1997-04,74.83385,Apr 1997
CZE,1997-05,74.83385,May 1997
CZE,1997-06,75.09231,Jun 1997
CZE,1997-07,75.84,Jul 1997
CZE,1997-08,76.51385,Aug 1997
CZE,1997-09,77.34461,Sep 1997
CZE,1997-10,78.01846,Oct 1997
CZE,1997-11,78.26769,Nov 1997
CZE,1997-12,78.43385,Dec 1997
CZE,1998-01,79.68923,Jan 1998
CZE,1998-02,80.02154,Feb 1998
CZE,1998-03,80.43692,Mar 1998
CZE,1998-04,80.86154,Apr 1998
CZE,1998-05,81.19385,May 1998
CZE,1998-06,81.44308,Jun 1998
CZE,1998-07,81.69231,Jul 1998
CZE,1998-08,81.85846,Aug 1998
CZE,1998-09,82.02461,Sep 1998
CZE,1998-10,82.2,Oct 1998
CZE,1998-11,81.85846,Nov 1998
CZE,1998-12,81.36,Dec 1998
CZE,1999-01,81.6,Jan 1999
CZE,1999-02,81.6,Feb 1999
CZE,1999-03,81.5,Mar 1999
CZE,1999-04,81.4,Apr 1999
CZE,1999-05,81.4,May 1999
CZE,1999-06,81.2,Jun 1999
CZE,1999-07,81.5,Jul 1999
CZE,1999-08,81.5,Aug 1999
CZE,1999-09,81.5,Sep 1999
CZE,1999-10,81.7,Oct 1999
CZE,1999-11,81.8,Nov 1999
CZE,1999-12,82.3,Dec 1999
CZE,2000-01,82.9,Jan 2000
CZE,2000-02,82.9,Feb 2000
CZE,2000-03,82.7,Mar 2000
CZE,2000-04,82.6,Apr 2000
CZE,2000-05,82.8,May 2000
CZE,2000-06,83,Jun 2000
CZE,2000-07,83.4,Jul 2000
CZE,2000-08,84.6,Aug 2000
CZE,2000-09,85.1,Sep 2000
CZE,2000-10,85.5,Oct 2000
CZE,2000-11,85.8,Nov 2000
CZE,2000-12,86.1,Dec 2000
CZE,2001-01,86.4,Jan 2001
CZE,2001-02,86.9,Feb 2001
CZE,2001-03,86.8,Mar 2001
CZE,2001-04,87.3,Apr 2001
CZE,2001-05,87.5,May 2001
CZE,2001-06,87.9,Jun 2001
CZE,2001-07,88.1,Jul 2001
CZE,2001-08,88.1,Aug 2001
CZE,2001-09,88.1,Sep 2001
CZE,2001-10,88.2,Oct 2001
CZE,2001-11,88.1,Nov 2001
CZE,2001-12,88,Dec 2001
CZE,2002-01,87.9,Jan 2002
CZE,2002-02,88.1,Feb 2002
CZE,2002-03,87.9,Mar 2002
CZE,2002-04,87.8,Apr 2002
CZE,2002-05,87.9,May 2002
CZE,2002-06,87.5,Jun 2002
CZE,2002-07,87.3,Jul 2002
CZE,2002-08,87.2,Aug 2002
CZE,2002-09,87.3,Sep 2002
CZE,2002-10,87.3,Oct 2002
CZE,2002-11,87.3,Nov 2002
CZE,2002-12,86.7,Dec 2002
CZE,2003-01,86.5,Jan 2003
CZE,2003-02,87,Feb 2003
CZE,2003-03,86.8,Mar 2003
CZE,2003-04,86.7,Apr 2003
CZE,2003-05,86.9,May 2003
CZE,2003-06,86.9,Jun 2003
CZE,2003-07,87,Jul 2003
CZE,2003-08,87.3,Aug 2003
CZE,2003-09,87.5,Sep 2003
CZE,2003-10,87.9,Oct 2003
CZE,2003-11,88.1,Nov 2003
CZE,2003-12,88.6,Dec 2003
