iso,date,Storm
CHE,Mar 2006,1
CHE,Jan 2007,1
CHE,Jul 2009,1
CHE,Feb 2010,1
CHE,Dec 2011,1
CHE,Jun 2013,1
CHE,Dec 2013,1
CHE,Nov 2014,1
CHE,Jan 2018,1
CHE,Jan 2019,1
CHE,Oct 2020,1
CHE,Jun 2021,1
CHE,Jul 2023,1
CHL,Aug 1965,1
CHL,Jul 1968,1
CHL,Jun 1971,1
CHL,Jul 1977,1
CHL,Jul 1984,1
CHL,Jun 1986,1
CHL,May 1992,1
CHL,Jun 1992,1
CHL,Jun 1997,1
CHL,May 2001,1
CHL,May 2005,1
CHL,Aug 2015,1
CHL,Jan 2021,1
CHN,Aug 1912,1
CHN,Jul 1922,1
CHN,Sep 1927,1
CHN,Jun 1948,1
CHN,Sep 1948,1
CHN,Aug 1956,1
CHN,Aug 1959,1
CHN,Sep 1964,1
CHN,Sep 1970,1
CHN,Jul 1980,1
CHN,Apr 1981,1
CHN,Mar 1983,1
CHN,Apr 1983,1
CHN,Sep 1983,1
CHN,Nov 1983,1
CHN,Aug 1984,1
CHN,Sep 1984,1
CHN,Apr 1985,1
CHN,Jun 1985,1
CHN,Jul 1985,1
CHN,Jan 1986,1
CHN,Apr 1986,1
CHN,May 1986,1
CHN,Jul 1986,1
CHN,Aug 1986,1
CHN,Mar 1987,1
CHN,Jun 1987,1
CHN,Jul 1987,1
CHN,Aug 1987,1
CHN,Sep 1987,1
CHN,Jun 1988,1
CHN,Aug 1988,1
CHN,Sep 1988,1
CHN,Apr 1989,1
CHN,May 1989,1
CHN,Jun 1989,1
CHN,Jul 1989,1
CHN,Aug 1989,1
CHN,Sep 1989,1
CHN,Oct 1989,1
CHN,Apr 1990,1
CHN,Jun 1990,1
CHN,Jul 1990,1
CHN,Aug 1990,1
CHN,Sep 1990,1
CHN,Nov 1990,1
CHN,Mar 1991,1
CHN,Jul 1991,1
CHN,Aug 1991,1
CHN,Mar 1992,1
CHN,Apr 1992,1
CHN,May 1992,1
CHN,Jul 1992,1
CHN,Aug 1992,1
CHN,Sep 1992,1
CHN,Jan 1993,1
CHN,Mar 1993,1
CHN,Apr 1993,1
CHN,May 1993,1
CHN,Jun 1993,1
CHN,Aug 1993,1
CHN,Sep 1993,1
CHN,Oct 1993,1
CHN,May 1994,1
CHN,Jun 1994,1
CHN,Jul 1994,1
CHN,Aug 1994,1
CHN,Feb 1995,1
CHN,Mar 1995,1
CHN,Apr 1995,1
CHN,Aug 1995,1
CHN,Nov 1995,1
CHN,Jan 1996,1
CHN,Apr 1996,1
CHN,Jul 1996,1
CHN,Aug 1996,1
CHN,Sep 1996,1
CHN,Dec 1996,1
CHN,May 1997,1
CHN,Jun 1997,1
CHN,Aug 1997,1
CHN,Jan 1998,1
CHN,Apr 1998,1
CHN,May 1998,1
CHN,Oct 1998,1
CHN,Apr 1999,1
CHN,May 1999,1
CHN,Aug 1999,1
CHN,Sep 1999,1
CHN,Oct 1999,1
CHN,Dec 1999,1
CHN,Jan 2000,1
CHN,Mar 2000,1
CHN,May 2000,1
CHN,Jun 2000,1
