location,time,ppi_tot_int,date
SVK,2015-10,99.4,Oct 2015
SVK,2015-11,98.4,Nov 2015
SVK,2015-12,97.9,Dec 2015
SVK,2016-01,97.7,Jan 2016
SVK,2016-02,96.5,Feb 2016
SVK,2016-03,95.9,Mar 2016
SVK,2016-04,95.7,Apr 2016
SVK,2016-05,95.5,May 2016
SVK,2016-06,95.6,Jun 2016
SVK,2016-07,96.1,Jul 2016
SVK,2016-08,96,Aug 2016
SVK,2016-09,95.9,Sep 2016
SVK,2016-10,96.1,Oct 2016
SVK,2016-11,96.7,Nov 2016
SVK,2016-12,96.5,Dec 2016
SVK,2017-01,97.8,Jan 2017
SVK,2017-02,99.6,Feb 2017
SVK,2017-03,100.7,Mar 2017
SVK,2017-04,101.3,Apr 2017
SVK,2017-05,101.8,May 2017
SVK,2017-06,101.9,Jun 2017
SVK,2017-07,101.5,Jul 2017
SVK,2017-08,101.3,Aug 2017
SVK,2017-09,101,Sep 2017
SVK,2017-10,101.4,Oct 2017
SVK,2017-11,101.8,Nov 2017
SVK,2017-12,101.9,Dec 2017
SVK,2018-01,102,Jan 2018
SVK,2018-02,103,Feb 2018
SVK,2018-03,103.5,Mar 2018
SVK,2018-04,103.7,Apr 2018
SVK,2018-05,103.9,May 2018
SVK,2018-06,104,Jun 2018
SVK,2018-07,103.7,Jul 2018
SVK,2018-08,103.8,Aug 2018
SVK,2018-09,103.7,Sep 2018
SVK,2018-10,103.9,Oct 2018
SVK,2018-11,103.7,Nov 2018
SVK,2018-12,103.4,Dec 2018
SVK,2019-01,103.7,Jan 2019
SVK,2019-02,103.6,Feb 2019
SVK,2019-03,103.5,Mar 2019
SVK,2019-04,103.4,Apr 2019
SVK,2019-05,103.4,May 2019
SVK,2019-06,103.2,Jun 2019
SVK,2019-07,102.7,Jul 2019
SVK,2019-08,102.5,Aug 2019
SVK,2019-09,102.2,Sep 2019
SVK,2019-10,102,Oct 2019
SVK,2019-11,101,Nov 2019
SVK,2019-12,101.1,Dec 2019
SVK,2020-01,101.2,Jan 2020
SVK,2020-02,101.1,Feb 2020
SVK,2020-03,100.8,Mar 2020
SVK,2020-04,100.7,Apr 2020
SVK,2020-05,100.2,May 2020
SVK,2020-06,99.5,Jun 2020
SVK,2020-07,99.1,Jul 2020
SVK,2020-08,98.6,Aug 2020
SVK,2020-09,98.6,Sep 2020
SVK,2020-10,99.2,Oct 2020
SVK,2020-11,99.1,Nov 2020
SVK,2020-12,99.8,Dec 2020
SVK,2021-01,100.9,Jan 2021
SVK,2021-02,102.3,Feb 2021
SVK,2021-03,104.8,Mar 2021
SVK,2021-04,107.5,Apr 2021
SVK,2021-05,110.1,May 2021
SVK,2021-06,111.8,Jun 2021
SVK,2021-07,115.3,Jul 2021
SVK,2021-08,118.7,Aug 2021
SVK,2021-09,122.2,Sep 2021
SVK,2021-10,124.8,Oct 2021
SVK,2021-11,126.5,Nov 2021
SVK,2021-12,127.4,Dec 2021
SVK,2022-01,130.32,Jan 2022
SVK,2022-02,133.85,Feb 2022
SVK,2022-03,136.07,Mar 2022
SVK,2022-04,140.77,Apr 2022
SVK,2022-05,146.74,May 2022
SVK,2022-06,146.67,Jun 2022
SVK,2022-07,145.86,Jul 2022
SVK,2022-08,145.91,Aug 2022
SVK,2022-09,145.24,Sep 2022
SVK,2022-10,148.27,Oct 2022
SVK,2022-11,146.41,Nov 2022
SVK,2022-12,145.65,Dec 2022
ESP,2000-01,72.2,Jan 2000
ESP,2000-02,72.4,Feb 2000
ESP,2000-03,72.9,Mar 2000
ESP,2000-04,74.1,Apr 2000
ESP,2000-05,74.6,May 2000
ESP,2000-06,74.6,Jun 2000
ESP,2000-07,74.9,Jul 2000
ESP,2000-08,74.1,Aug 2000
ESP,2000-09,75.4,Sep 2000
ESP,2000-10,76.3,Oct 2000
ESP,2000-11,76.2,Nov 2000
ESP,2000-12,76.2,Dec 2000
ESP,2001-01,76.3,Jan 2001
ESP,2001-02,76.2,Feb 2001
ESP,2001-03,76.2,Mar 2001
ESP,2001-04,76,Apr 2001
ESP,2001-05,76.3,May 2001
ESP,2001-06,75.7,Jun 2001
ESP,2001-07,75.5,Jul 2001
ESP,2001-08,75,Aug 2001
ESP,2001-09,75.1,Sep 2001
ESP,2001-10,74.6,Oct 2001
ESP,2001-11,74.3,Nov 2001
ESP,2001-12,74.1,Dec 2001
ESP,2002-01,74.6,Jan 2002
ESP,2002-02,74.6,Feb 2002
ESP,2002-03,75.3,Mar 2002
ESP,2002-04,74.9,Apr 2002
ESP,2002-05,75.2,May 2002
ESP,2002-06,75.1,Jun 2002
ESP,2002-07,75.4,Jul 2002
ESP,2002-08,74.6,Aug 2002
ESP,2002-09,75,Sep 2002
ESP,2002-10,74.8,Oct 2002
ESP,2002-11,74.7,Nov 2002
ESP,2002-12,74.6,Dec 2002
ESP,2003-01,75.2,Jan 2003
ESP,2003-02,75.3,Feb 2003
ESP,2003-03,75.3,Mar 2003
ESP,2003-04,75.9,Apr 2003
ESP,2003-05,75.4,May 2003
ESP,2003-06,75,Jun 2003
ESP,2003-07,75,Jul 2003
ESP,2003-08,74.1,Aug 2003
ESP,2003-09,74.9,Sep 2003
ESP,2003-10,75,Oct 2003
ESP,2003-11,75,Nov 2003
ESP,2003-12,75,Dec 2003
ESP,2004-01,75.4,Jan 2004
ESP,2004-02,76.3,Feb 2004
ESP,2004-03,77.2,Mar 2004
ESP,2004-04,77.4,Apr 2004
ESP,2004-05,78.3,May 2004
ESP,2004-06,78.5,Jun 2004
ESP,2004-07,78.1,Jul 2004
ESP,2004-08,78.1,Aug 2004
ESP,2004-09,79.1,Sep 2004
ESP,2004-10,79.4,Oct 2004
ESP,2004-11,80.3,Nov 2004
ESP,2004-12,79.6,Dec 2004
ESP,2005-01,79.9,Jan 2005
ESP,2005-02,80.4,Feb 2005
ESP,2005-03,80.3,Mar 2005
ESP,2005-04,80.4,Apr 2005
ESP,2005-05,80.5,May 2005
ESP,2005-06,80.4,Jun 2005
ESP,2005-07,80.4,Jul 2005
ESP,2005-08,80.5,Aug 2005
ESP,2005-09,81.2,Sep 2005
ESP,2005-10,81.4,Oct 2005
