location,time,ppi_tot_manufact_food,date
FIN,2002-08,79.3,Aug 2002
FIN,2002-09,79.2,Sep 2002
FIN,2002-10,79.4,Oct 2002
FIN,2002-11,79.2,Nov 2002
FIN,2002-12,79.1,Dec 2002
FIN,2003-01,78.6,Jan 2003
FIN,2003-02,78.4,Feb 2003
FIN,2003-03,78.3,Mar 2003
FIN,2003-04,78.6,Apr 2003
FIN,2003-05,78.5,May 2003
FIN,2003-06,78.7,Jun 2003
FIN,2003-07,78.5,Jul 2003
FIN,2003-08,78.5,Aug 2003
FIN,2003-09,78.4,Sep 2003
FIN,2003-10,78.3,Oct 2003
FIN,2003-11,78.3,Nov 2003
FIN,2003-12,78.6,Dec 2003
FIN,2004-01,78.7,Jan 2004
FIN,2004-02,79.2,Feb 2004
FIN,2004-03,79.1,Mar 2004
FIN,2004-04,79.1,Apr 2004
FIN,2004-05,79.1,May 2004
FIN,2004-06,79,Jun 2004
FIN,2004-07,79.1,Jul 2004
FIN,2004-08,78.9,Aug 2004
FIN,2004-09,79.1,Sep 2004
FIN,2004-10,78.6,Oct 2004
FIN,2004-11,78.6,Nov 2004
FIN,2004-12,78.6,Dec 2004
FIN,2005-01,78.7,Jan 2005
FIN,2005-02,79.2,Feb 2005
FIN,2005-03,79.4,Mar 2005
FIN,2005-04,79.3,Apr 2005
FIN,2005-05,79.4,May 2005
FIN,2005-06,79.6,Jun 2005
FIN,2005-07,79.8,Jul 2005
FIN,2005-08,79.6,Aug 2005
FIN,2005-09,79.5,Sep 2005
FIN,2005-10,79.3,Oct 2005
FIN,2005-11,79.3,Nov 2005
FIN,2005-12,79.4,Dec 2005
FIN,2006-01,79.5,Jan 2006
FIN,2006-02,79.9,Feb 2006
FIN,2006-03,80,Mar 2006
FIN,2006-04,80.3,Apr 2006
FIN,2006-05,80.4,May 2006
FIN,2006-06,80.7,Jun 2006
FIN,2006-07,80.9,Jul 2006
FIN,2006-08,80.7,Aug 2006
FIN,2006-09,81,Sep 2006
FIN,2006-10,80.6,Oct 2006
FIN,2006-11,80.7,Nov 2006
FIN,2006-12,81.1,Dec 2006
FIN,2007-01,81.6,Jan 2007
FIN,2007-02,82.1,Feb 2007
FIN,2007-03,82.2,Mar 2007
FIN,2007-04,82,Apr 2007
FIN,2007-05,82.3,May 2007
FIN,2007-06,82.2,Jun 2007
FIN,2007-07,82.8,Jul 2007
FIN,2007-08,82.5,Aug 2007
FIN,2007-09,83.1,Sep 2007
FIN,2007-10,83.2,Oct 2007
FIN,2007-11,83.3,Nov 2007
FIN,2007-12,83.7,Dec 2007
FIN,2008-01,87.5,Jan 2008
FIN,2008-02,87.3,Feb 2008
FIN,2008-03,87.3,Mar 2008
FIN,2008-04,87.8,Apr 2008
FIN,2008-05,88.5,May 2008
FIN,2008-06,88.4,Jun 2008
FIN,2008-07,89.8,Jul 2008
