location,time,ppi_tot_con,date
GRC,2005-07,87.5,Jul 2005
GRC,2005-08,87.8,Aug 2005
GRC,2005-09,88.2,Sep 2005
GRC,2005-10,89.4,Oct 2005
GRC,2005-11,89.5,Nov 2005
GRC,2005-12,90.2,Dec 2005
GRC,2006-01,91.9,Jan 2006
GRC,2006-02,92,Feb 2006
GRC,2006-03,92.2,Mar 2006
GRC,2006-04,92.7,Apr 2006
GRC,2006-05,92.2,May 2006
GRC,2006-06,91.7,Jun 2006
GRC,2006-07,91.8,Jul 2006
GRC,2006-08,92.4,Aug 2006
GRC,2006-09,92.1,Sep 2006
GRC,2006-10,91.5,Oct 2006
GRC,2006-11,91,Nov 2006
GRC,2006-12,91,Dec 2006
GRC,2007-01,90.9,Jan 2007
GRC,2007-02,90.7,Feb 2007
GRC,2007-03,91.2,Mar 2007
GRC,2007-04,91.5,Apr 2007
GRC,2007-05,91.2,May 2007
GRC,2007-06,91.3,Jun 2007
GRC,2007-07,91.3,Jul 2007
GRC,2007-08,91.5,Aug 2007
GRC,2007-09,92.4,Sep 2007
GRC,2007-10,93.1,Oct 2007
GRC,2007-11,93.7,Nov 2007
GRC,2007-12,93.9,Dec 2007
GRC,2008-01,94.2,Jan 2008
GRC,2008-02,94.7,Feb 2008
GRC,2008-03,95.2,Mar 2008
GRC,2008-04,95.4,Apr 2008
GRC,2008-05,95.4,May 2008
GRC,2008-06,95.5,Jun 2008
GRC,2008-07,95.6,Jul 2008
GRC,2008-08,95.7,Aug 2008
GRC,2008-09,96,Sep 2008
GRC,2008-10,96.1,Oct 2008
GRC,2008-11,96,Nov 2008
GRC,2008-12,95.9,Dec 2008
GRC,2009-01,96,Jan 2009
GRC,2009-02,96,Feb 2009
GRC,2009-03,96,Mar 2009
GRC,2009-04,95.9,Apr 2009
GRC,2009-05,95.8,May 2009
GRC,2009-06,95.9,Jun 2009
GRC,2009-07,96.2,Jul 2009
GRC,2009-08,96.5,Aug 2009
GRC,2009-09,96.8,Sep 2009
